iteration,score,best_score,lambdaKM,Delta
0,-79.20931355879405,-79.20931355879405,0.21750946552141803,-0.1827949139969586
1,-79.59835014109294,-79.20931355879405,-0.4066169361530011,-0.59935562734468
2,-79.55134255846184,-79.20931355879405,-0.6794118537517563,-0.31813294896329597
3,-79.5517504335915,-79.20931355879405,-0.3190497485021807,-0.16867722488545078
4,-79.31242547542732,-79.20931355879405,-0.03831460121040253,-0.1846325475184375
5,-79.07872835349932,-79.07872835349932,0.3522567929624833,-0.23400085380236807
6,-78.93915457200845,-78.93915457200845,0.5222603775526563,-0.11728898296641238
7,-78.40476740701803,-78.40476740701803,1.2060134988445643,-0.24704307317244667
8,-78.05743981061934,-78.05743981061934,1.4026094913537595,0.11327972377235307
9,-78.05743981061934,-78.05743981061934,1.4026094913537595,0.11327972377235307
10,-78.14502542777012,-78.05743981061934,1.4766573453458898,0.15049666259778832
11,-78.03143172718832,-78.03143172718832,1.6931255403635481,0.17204391100897393
12,-78.36030776121925,-78.03143172718832,1.228671694342753,0.07015190750724769
13,-77.34156222810579,-77.34156222810579,1.7050123190479247,-0.20573219004166887
14,-77.45240290620744,-77.34156222810579,1.5983413904465558,-0.15389045621377145
15,-77.27326880992084,-77.27326880992084,1.4872986093158471,-0.30111482579298626
16,-77.27326880992084,-77.27326880992084,1.4872986093158471,-0.30111482579298626
17,-77.29014981611617,-77.27326880992084,1.707021406260522,-0.4370730266469665
18,-77.2666499036529,-77.2666499036529,1.8523261770799102,-0.6476382877596789
19,-77.64250203850128,-77.2666499036529,1.4720431905843676,-0.49277860400746
20,-77.34750009516763,-77.2666499036529,1.613995451444287,-0.28125267786501124
21,-77.34750009516763,-77.2666499036529,1.613995451444287,-0.28125267786501124
22,-77.34750009516763,-77.2666499036529,1.613995451444287,-0.28125267786501124
23,-77.0528558043033,-77.0528558043033,1.8482193332559067,-0.5777556487709481
24,-77.0528558043033,-77.0528558043033,1.8482193332559067,-0.5777556487709481
25,-77.25613816208757,-77.0528558043033,1.6596509910666366,-1.036698260307484
26,-76.73585801606102,-76.73585801606102,1.6665840212768592,-0.5285018714580971
27,-76.48970740858658,-76.48970740858658,1.7234439780377793,-0.45872662318619223
28,-76.43533635522896,-76.43533635522896,1.8365935160517226,0.00522819150388204
29,-77.32882188704134,-76.43533635522896,1.5429106385435345,-0.1183239746553544
30,-77.32882188704134,-76.43533635522896,1.5429106385435345,-0.1183239746553544
31,-76.15091611651324,-76.15091611651324,2.465862005339026,0.01293814128765107
32,-76.07533149990283,-76.07533149990283,2.5506301627755783,-0.24447152713141057
33,-75.96772083653259,-75.96772083653259,2.5060649195437676,0.0929485252209562
34,-75.96772083653259,-75.96772083653259,2.5060649195437676,0.0929485252209562
35,-75.82667204276176,-75.82667204276176,2.5472740075486784,0.40381360104532493
36,-75.05165770403757,-75.05165770403757,2.2420847849955576,0.17448261491782904
